
a2_master_stc_control,"RFK-Station, Eureka"
a2_master_dialogue_accelerator_control_there_isnt_nothing_much_to_know_buddy,"Da gibt's nichts zu wissen, Freundchen. Außer, dass er der einzige Weg aus dem Badlands-Sternhaufen ist. Er ist in Privatbesitz, damit Abschaum wie du von anständigen Leuten fernbleibt. Du könntest dir die Durchfahrt nicht leisten, selbst wenn du jede Monatsrente deiner Oma von heute bis zum Weltuntergang klauen würdest!"
a2_master_dialogue_cal_just_passing_through,Bin nur auf der Durchreise.
a2_master_dialogue_accelerator_control_the_just_pass_through_somewhere_else,Hier reist du überhaupt nicht durch. Diese Einrichtung befindet sich in Privatbesitz. Verlass sofort den Abschnitt.
a2_master_dialogue_league_patrol_wassup_cal,"Was gibt's, Cal..."
a2_master_dialogue_clay_looks_like_one_of_our_patrols,"Sieht aus wie eine unserer Patrouillen. Sucht wohl nach der Marauder-Basis. Mal sehen, was sie wollen..."
a2_master_dialogue_league_patrol_didnt_expect_to_see_you_around_these_parts_cal,"Hätte nicht gedacht, dass wir uns hier begegnen, Cal. Können wir irgendwas für dich tun?"
a2_master_option_cal_any_sign_of_the_marauders,"Also, habt ihr die Marauder-Basis gefunden?"
a2_master_dialogue_cal_any_sign_of_the_marauders,"Na, ihr könntet mir zum Beispiel sagen, dass ihr die Marauder-Basis gefunden habt."
a2_master_dialogue_league_patrol_not_a_sasuage_had_a_few_run_ins_with_their_patols,"Kein Staubkorn gefunden. Wir sind ein paar Maraudern begegnet, aber keine Spur von einer Basis. Es ist, als ob sie sich in Luft aufgelöst hätten."
a2_master_dialogue_league_patrol_weve_turned_this_system_upside_down,Wir haben das ganze verdammte System auf den Kopf gestellt und nichts gefunden.
a2_master_dialogue_league_patrol_ninety_nine_percent_sure_that_there_ait_no_marauder_base_here,"Wir wissen mit 99-prozentiger Sicherheit, dass es hier in der Nähe keine große Marauder-Basis gibt."
a2_master_dialogue_league_patrol_reackon_theres_no_marauder_bases,"Ich glaube, hier in der Gegend gibt es keine Marauder-Basen."
a2_master_dialogue_cal_hows_things,Nicht wirklich. Wie geht's?
a2_master_dialogue_league_patrol_oh_yknow_could_be_better,"Ach, weißt du, es könnte besser gehen. Ich könnte zu Hause sein, ein Bier trinken, den Kindern das Angeln beibringen, die Füße hochlegen. Aber nein, ich durchkreuze den Weltraum und suche nach imaginären Marauder-Basen."
a2_master_dialogue_league_patrol_things_would_be_a_whole_lot_better,"Es würde mir viel besser gehen, wenn wir endlich diese verdammte Marauder-Basis finden würden."
a2_master_dialogue_league_patrol_pretty_good_we_whooped_a_marauder_patrol,Ganz gut. Gestern haben wir ohne Verluste eine Marauder-Patrouille erledigt. Jetzt müssen wir nur noch diese verfluchte Marauder-Basis finden...
a2_master_dialogue_league_patrol_looking_up_now_we_got_the_marauders_on_the_run,Wir haben die Oberhand über die Marauder gewonnen! Es läuft also ganz gut...
a2_master_dialogue_league_patrol_things_are_good_cal_and_would_be_better_of_we_could_find_that_damn_marauder_base,"Richtig gut, Cal. RICHTIG gut! Die Moral der Truppe ist gut, und unsere Jäger können es kaum erwarten, noch mehr Marauder zu erledigen. Wenn wir die verfluchte Marauder-Basis finden könnten, wäre alles perfekt."
a2_master_dialogue_league_patrol_dont_ask,Frag lieber nicht.
a2_master_dialogue_league_patrol_gotta_fly_weve_got_a_few_more_places_to_search,"Wie dem auch sei, wir sehen uns. Haben hier noch was zu erledigen. Mach's gut, Cal."
a2_master_kiwi,"The Kiwi"
a2_master_waste_not,"Waste Not"
a2_master_mca_control,"MCA RFK-Station"
Third_Way_Elders,"Third Way Elder"
accelerator_control,"Sprungbeschleunigerkontrolle"
